"","lon","lat","id"
"1",-179.75,65.25,"RUS14"
"2",-179.75,65.75,"RUS14"
"3",-179.75,66.25,"RUS13"
"4",-179.75,66.75,"RUS13"
"5",-179.75,67.25,"RUS13"
"6",-179.75,67.75,"RUS13"
"7",-179.75,68.25,"RUS13"
"8",-179.75,68.75,"RUS13"
"9",-179.25,66.25,"NA14"
"10",-179.25,66.75,"RUS13"
"11",-179.25,67.25,"RUS13"
"12",-179.25,67.75,"RUS13"
"13",-179.25,68.25,"RUS13"
"14",-179.25,68.75,"RUS13"
"15",-178.75,66.25,"NA14"
"16",-178.75,66.75,"RUS13"
"17",-178.75,67.25,"RUS13"
"18",-178.75,67.75,"RUS13"
"19",-178.75,68.25,"RUS13"
"20",-178.25,65.75,"RUS14"
"21",-178.25,66.25,"RUS14"
"22",-178.25,66.75,"RUS13"
"23",-178.25,67.25,"RUS13"
"24",-178.25,67.75,"RUS13"
"25",-178.25,68.25,"RUS13"
"26",-177.75,65.75,"RUS14"
"27",-177.75,66.25,"RUS13"
"28",-177.75,66.75,"RUS13"
"29",-177.75,67.25,"RUS13"
"30",-177.75,67.75,"RUS13"
"31",-177.75,68.25,"RUS13"
"32",-177.25,65.75,"RUS13"
"33",-177.25,66.25,"RUS13"
"34",-177.25,66.75,"RUS13"
"35",-177.25,67.25,"RUS13"
"36",-177.25,67.75,"RUS13"
"37",-177.25,68.25,"NA13"
"38",-176.75,65.75,"RUS14"
"39",-176.75,66.25,"RUS13"
"40",-176.75,66.75,"RUS13"
"41",-176.75,67.25,"RUS13"
"42",-176.75,67.75,"RUS13"
"43",-176.25,65.75,"RUS14"
"44",-176.25,66.25,"RUS13"
"45",-176.25,66.75,"RUS13"
"46",-176.25,67.25,"RUS13"
"47",-176.25,67.75,"RUS13"
"48",-175.75,65.25,"RUS14"
"49",-175.75,65.75,"RUS14"
"50",-175.75,66.25,"RUS13"
"51",-175.75,66.75,"RUS13"
"52",-175.75,67.25,"RUS13"
"53",-175.75,67.75,"RUS13"
"54",-175.25,64.75,"NA14"
"55",-175.25,65.25,"RUS14"
"56",-175.25,65.75,"RUS14"
"57",-175.25,66.25,"RUS14"
"58",-175.25,66.75,"RUS14"
"59",-175.25,67.25,"RUS13"
"60",-174.75,64.75,"RUS14"
"61",-174.75,65.25,"RUS14"
"62",-174.75,65.75,"RUS14"
"63",-174.75,66.25,"RUS14"
"64",-174.75,66.75,"NA14"
"65",-174.25,64.75,"RUS14"
"66",-174.25,65.25,"RUS14"
"67",-174.25,65.75,"RUS14"
"68",-174.25,66.25,"RUS14"
"69",-173.75,64.75,"RUS14"
"70",-173.75,65.25,"RUS14"
"71",-173.75,65.75,"RUS14"
"72",-173.75,66.25,"RUS14"
"73",-173.75,66.75,"RUS14"
"74",-173.25,64.25,"NA14"
"75",-173.25,64.75,"RUS14"
