"","lon","lat","id"
"190088",-58.75,-51.75,"FLK"
"190089",-59.25,-51.75,"FLK"
"190090",-58.25,-51.75,"FLK"
"190091",-59.75,-51.75,"FLK"
"190092",-52.75,3.75,"GUF"
"190093",-52.75,4.75,"GUF"
"190094",-52.25,3.75,"GUF"
"190095",-53.25,4.25,"GUF"
"190096",-53.25,4.75,"GUF"
"190097",-53.75,4.25,"GUF"
"190098",-54.25,2.25,"GUF"
"190099",-54.25,4.25,"GUF"
"190100",-53.75,4.75,"GUF"
"190101",-51.75,4.25,"GUF"
"190102",-52.25,4.25,"GUF"
"190103",-53.25,5.25,"GUF"
"190104",-53.75,5.25,"GUF"
"190105",-52.75,2.75,"GUF"
"190106",-54.25,4.75,"GUF"
"190107",-52.75,4.25,"GUF"
"190108",-53.25,3.75,"GUF"
"190109",-53.75,3.25,"GUF"
"190110",-53.25,2.75,"GUF"
"190111",-52.75,3.25,"GUF"
"190112",-53.75,2.75,"GUF"
"190113",-52.25,4.75,"GUF"
"190114",-53.25,3.25,"GUF"
"190115",-53.75,3.75,"GUF"
"190116",-52.75,5.25,"GUF"
"190117",-59.75,4.75,"GUY"
"190118",-60.75,5.25,"GUY"
"190119",-58.75,4.75,"GUY"
"190120",-60.75,5.75,"GUY"
"190121",-58.75,5.25,"GUY"
"190122",-58.75,3.25,"GUY"
"190123",-59.25,5.75,"GUY"
"190124",-59.75,3.25,"GUY"
"190125",-59.75,8.25,"GUY"
"190126",-59.25,3.75,"GUY"
"190127",-59.75,5.75,"GUY"
"190128",-59.75,7.75,"GUY"
"190129",-59.25,2.75,"GUY"
"190130",-59.25,4.75,"GUY"
"190131",-58.75,1.25,"GUY"
"190132",-57.75,3.25,"GUY"
"190133",-59.25,5.25,"GUY"
"190134",-57.75,5.75,"GUY"
"190135",-59.75,6.25,"GUY"
"190136",-59.25,3.25,"GUY"
"190137",-60.25,5.75,"GUY"
"190138",-57.75,2.75,"GUY"
"190139",-58.25,5.25,"GUY"
"190140",-60.75,6.25,"GUY"
"190141",-58.75,4.25,"GUY"
"190142",-58.25,3.25,"GUY"
"190143",-57.75,2.25,"GUY"
"190144",-58.25,6.25,"GUY"
"190145",-59.25,4.25,"GUY"
"190146",-58.75,7.25,"GUY"
"190147",-60.75,6.75,"GUY"
"190148",-58.25,2.75,"GUY"
"190149",-57.75,6.25,"GUY"
"190150",-58.75,2.75,"GUY"
"190151",-58.75,5.75,"GUY"
"190152",-60.25,7.25,"GUY"
